Conglomerado,Anio,Fecha_cgl,Estado,Municipio,Formato,Tipo_cgl_estandar,Monitoreo,Muestreado,Cubierta_Vegetal,Tenencia,Altitud,Pendiete_promedio,Fisiografia,Exposicion,Veg_prim_levantada,Veg_sec_levanatda,Sitios_x_cgl,Sitio_1,Sitio_2,Sitio_3,Sitio_4,X,Y
72690,2009,28/06/2009,Oaxaca,Santiago Suchilquitongo,Bosque,Inicial,No,1,Si,Comunal,1822,30,Lomerio,Oeste,BQ,VSA,4,1,1,1,1,-96.93083267,17.21
72740,2009,19/04/2009,Oaxaca,Santa Maria Chimalapa,Selva,Inaccesible (social),No,0,No,Ejidal,0,0,No aplica,No aplica,NA,VSna,1,1,0,0,0,-94.58502744,17.11194444
76067,2009,04/06/2009,Oaxaca,San Agustin Chayuco,Bosque,Inicial,No,1,Si,Ejidal,1123,40,Ladera,Oeste,BPQ,VSn,4,1,1,1,1,-97.70611111,16.46697156
72511,2009,10/04/2009,Oaxaca,San Juan Mazatlan,Selva,Inaccesible (social),No,0,No,Comunal,0,0,No aplica,No aplica,NA,VSna,1,1,0,0,0,-95.37999933,17.19444411
77154,2009,20/05/2009,Oaxaca,Villa de Tututepec de Melcho,Selva,Inicial,No,1,Si,Comunal,480,30,Lomerio,Norte,SMQ,VSh,4,1,1,1,1,-97.43777744,16.09802744
73729,2009,09/06/2009,Oaxaca,San Miguel el Grande,Bosque,Inicial,No,1,Si,Comunal,2420,23,Ladera,Norte,BQP,VSn,4,1,1,1,1,-97.64249967,17.00666667
73804,2009,07/03/2009,Oaxaca,Santa Maria Chimalapa,Bosque,Inicial,No,1,Si,Comunal,896,70,Ladera,Oeste,BPQ,VSaa,4,1,1,1,1,-94.12888822,16.8625
67020,2009,18/08/2009,Oaxaca,San Miguel Soyaltepec,Selva,Inicial,Si,1,No,Ejidal,54,0,Planicie,Zenital,NA,VSna,4,1,1,1,1,-96.55944444,18.28249933
77351,2009,16/06/2009,Oaxaca,San Pedro Mixtepec - Distr.,Selva,Inicial,No,1,Si,Comunal,336,20,Barranca,Sureste,SMS,VSA,4,1,1,1,1,-97.02188822,15.99444411
77614,2009,08/05/2009,Oaxaca,Santa Maria Colotepec,Selva,Inicial,No,1,Si,Comunal,192,50,Lomerio,Noroeste,SMS,VSA,4,1,1,1,1,-96.88894411,15.80977778
77046,2009,10/06/2009,Oaxaca,Santiago Jamiltepec,Selva,Inicial,Si,1,Si,Ejidal,1361,5,Planicie,Zenital,SMS,VSh,4,1,1,1,1,-97.7625,16.15277778
77496,2009,21/04/2009,Oaxaca,San Pedro Mixtepec - Distr.,Selva,Inicial,No,1,Si,Comunal,132,30,Lomerio,Sureste,SMS,VSA,4,1,1,1,1,-97.07169378,15.90613889
74012,2009,06/03/2009,Oaxaca,Santa Maria Chimalapa,Bosque,Inicial,No,1,Si,Comunal,642,80,Ladera,Sureste,BQ,VSaa,4,1,1,1,1,-94.03802744,16.8125
73129,2009,23/07/2009,Oaxaca,Santo Domingo Albarradas,Bosque,Inicial,No,1,Si,Comunal,1862,20,Lomerio,Noroeste,BQP,VSn,4,1,1,1,1,-96.27749933,17.096083
72476,2009,19/06/2009,Oaxaca,Santiago Tenango,Bosque,Inicial,No,1,Si,Comunal,2151,50,Ladera,Suroeste,BQP,VSn,4,1,1,1,1,-97.02333267,17.25836111
70980,2009,29/06/2009,Oaxaca,San Juan Bautista Atatlahuca,Bosque,Inicial,No,1,Si,Comunal,2573,60,Ladera,Noroeste,BM,VSn,4,1,1,1,1,-96.729416,17.56472222
76713,2009,13/07/2009,Oaxaca,San Juan Lachao,Bosque,Inicial,No,1,Si,Comunal,1575,50,Ladera,Sureste,BQP,VSn,3,1,0,1,1,-97.10555556,16.26780489
77447,2009,18/08/2009,Oaxaca,San Miguel del Puerto,Selva,Inicial,No,1,Si,Propiedad Particular,813,60,Ladera,Norte,SMQ,VSA,3,1,1,1,0,-96.23280489,15.92088822
72252,2009,20/06/2009,Oaxaca,Santa Maria del Rosario,Bosque,Inicial,No,1,Si,Comunal,2449,50,Ladera,Noroeste,BQP,VSn,4,1,1,1,1,-97.58555522,17.32111044
72277,2009,01/08/2009,Oaxaca,Santiago Xiacuí,Bosque,Inicial,No,1,Si,Comunal,2242,40,Lomerio,Suroeste,BQP,VSn,4,1,1,1,1,-96.41072222,17.28186044
76405,2009,03/06/2009,Oaxaca,Santiago Jamiltepec,Selva,Inicial,No,1,Si,Ejidal,1408,35,Ladera,Noreste,SMS,VSn,4,1,1,1,1,-97.75583333,16.37805489
77573,2009,23/07/2009,Oaxaca,Santa Maria Huatulco,Selva,Inicial,No,1,Si,Propiedad Particular,232,10,Lomerio,Suroeste,SBC,VSA,4,1,1,1,1,-96.28313822,15.83274933
75952,2009,06/04/2009,Oaxaca,San Dionisio del Mar,Selva,Inicial,Si,1,Si,Ejidal,34,0,Planicie,Zenital,SBQ,VSA,4,1,1,1,1,-94.76361111,16.39780522
76820,2009,12/06/2009,Oaxaca,Santa Maria Huazolotitlán,Selva,Inicial,No,1,Si,Ejidal,128,15,Barranca,Sureste,SMS,VSA,4,1,1,1,1,-97.94638856,16.24805522
75552,2009,25/05/2009,Oaxaca,Santa Maria Zoquitlan,Selva,Inicial,No,1,Si,Comunal,1024,50,Ladera,Sureste,SBC,VSn,4,1,1,1,1,-96.34666633,16.55669444
71406,2009,28/06/2009,Oaxaca,Asuncion Nochixtlan,Otras comunidades,Inicial,No,1,Si,Comunal,2150,40,Barranca,Oeste,ML,VSn,4,1,1,1,1,-97.25027778,17.49169411
70970,2009,29/06/2009,Oaxaca,Santa Maria Chachopam,Bosque,Inicial,No,1,Si,Comunal,2360,20,Ladera,Este,BQ,VSaa,4,1,1,1,1,-97.20002778,17.58055489
74546,2009,24/06/2009,Oaxaca,Zapotitlan del Rio,Bosque,Inicial,No,1,Si,Comunal,2000,68,Ladera,Sureste,BQP,VSn,4,1,1,1,1,-97.27363822,16.81472222
76683,2009,06/06/2009,Oaxaca,Santiago Tapextla,Selva,Inicial,No,1,Si,Ejidal,1320,20,Barranca,Noreste,SMS,VSaa,4,1,1,1,1,-98.505,16.3075
71396,2009,24/06/2009,Oaxaca,San Antonino Monte Verde,Bosque,Inicial,No,1,Si,Comunal,2380,60,Ladera,Oeste,BQP,VSn,4,1,1,1,1,-97.72086044,17.50583333
72910,2009,18/07/2009,Oaxaca,Santa Catarina Ixtepeji,Bosque,Inicial,No,1,Si,Comunal,2454,60,Ladera,Suroeste,BPQ,VSaa,4,1,1,1,1,-96.60372222,17.15247222
69123,2009,17/07/2009,Oaxaca,Santiago Miltepec,Bosque,Inicial,No,1,Si,Comunal,2121,40,Ladera,Norte,BQ,VSaa,4,1,1,1,1,-97.70666667,17.95775
70772,2009,04/05/2009,Oaxaca,San Juan Lalana,Selva,Inicial,No,1,Si,Comunal,120,50,Bajo,Oeste,SAP,VSaa,3,1,1,0,1,-95.88119378,17.57861044
73539,2009,24/07/2009,Oaxaca,Cuilapam de Guerrero,Bosque,Inicial,Si,1,Si,Comunal,1622,0,Lomerio,Zenital,BQP,VSaa,4,1,1,1,1,-96.79691633,17.02472156
76410,2009,26/05/2009,Oaxaca,Santa Cruz Zenzontepec,Bosque,Inicial,No,1,Si,Comunal,1080,37,Ladera,Suroeste,BQ,VSn,4,1,1,1,1,-97.52222156,16.371416
76703,2009,03/06/2009,Oaxaca,Tataltepec de Valdes,Selva,Inicial,No,1,Si,Comunal,320,53,Ladera,Norte,SMS,VSh,4,1,1,1,1,-97.57194378,16.28249933
75962,2009,13/02/2009,Oaxaca,Santo Domingo Zanatepec,Selva,Inicial,No,1,Si,Comunal,144,30,Lomerio,Suroeste,SBC,VSaa,4,1,1,1,1,-94.29722189,16.37444378
75352,2009,05/06/2009,Oaxaca,Ayoquezco de Aldama,Bosque,Inicial,No,1,Si,Comunal,1523,30,Lomerio,Oeste,BQ,VSaa,4,1,1,1,1,-96.90583333,16.62222156
72536,2009,01/02/2009,Oaxaca,Santa Maria Chimalapa,Selva,Inicial,No,1,Si,Ejidal,75,10,Lomerio,Sureste,SAP,VSA,4,1,1,1,1,-94.20722222,17.13777744
73104,2009,21/06/2009,Oaxaca,San Juan Teita,Bosque,Inicial,No,1,Si,Comunal,1754,20,Ladera,Noreste,BQ,VSn,4,1,1,1,1,-97.45025,17.135833
75135,2009,10/06/2009,Oaxaca,Santa Maria Zacatepec,Bosque,Inicial,No,1,Si,Comunal,1100,0,Planicie,Zenital,BPQ,VSh,4,1,1,1,1,-97.93305489,16.698833
71873,2009,22/05/2009,Oaxaca,San Juan Cotzocon,Selva,Inicial,No,1,Si,Comunal,102,30,Lomerio,Sur,SMQ,VSA,1,1,0,0,0,-95.42094378,17.33197156
72541,2009,12/02/2009,Oaxaca,Santa Maria Chimalapa,Selva,Inicial,No,1,Si,Ejidal,698,60,Ladera,Sur,SAP,VSaa,4,1,1,1,1,-93.97302711,17.12530489
76596,2009,02/06/2009,Oaxaca,Asuncion Tlacolulita,Bosque,Inicial,No,1,Si,Comunal,954,40,Lomerio,Suroeste,BP,VSA,4,1,1,1,1,-95.79855522,16.26077778
70955,2009,08/07/2009,Oaxaca,Tezoatlan de Segura y Luna,Bosque,Inicial,No,1,Si,Comunal,2227,30,Ladera,Oeste,BQ,VSn,4,1,1,1,1,-97.90638889,17.60166667
71416,2009,01/07/2009,Oaxaca,San Juan Bautista Jayacatlan,Bosque,Inicial,No,1,Si,Comunal,1893,90,Ladera,Oeste,BQP,VSn,3,1,0,1,1,-96.77972156,17.47611044
73759,2009,24/07/2009,Oaxaca,San Lorenzo Albarradas,Bosque,Inicial,No,1,Si,Propiedad Particular,1414,50,Lomerio,Suroeste,BQ,VSA,4,1,1,1,1,-96.236083,16.95888889
76082,2009,07/06/2009,Oaxaca,Villa Sola de Vega,Bosque,Inicial,No,1,Si,Comunal,1899,40,Ladera,Suroeste,BQP,VSn,4,1,1,1,1,-97.00583333,16.44499967
73519,2009,17/06/2009,Oaxaca,San Esteban Atatlahuca,Bosque,Inicial,No,1,Si,Comunal,2465,70,Ladera,Noroeste,BM,VSaa,4,1,1,1,1,-97.73499967,17.05444444
71617,2009,27/06/2009,Oaxaca,Santiago Nejapilla,Bosque,Inicial,No,1,Si,Comunal,2710,30,Ladera,Sur,BPQ,VSA,4,1,1,1,1,-97.393083,17.45111111
71858,2009,09/08/2009,Oaxaca,San Ildefonso Villa Alta,Bosque,Inicial,No,1,Si,Comunal,1336,40,Lomerio,Oeste,BM,VSaa,4,1,1,1,1,-96.12527711,17.36138889
71883,2009,13/03/2009,Oaxaca,Matias Romero,Selva,Inicial,No,1,Si,Ejidal,60,70,Lomerio,Sureste,SAP,VSA,4,1,1,1,1,-94.95083333,17.31055556
72292,2009,09/05/2009,Oaxaca,Santiago Yaveo,Bosque,Inicial,No,1,Si,Comunal,468,30,Ladera,Noreste,BPQ,VSaa,4,1,1,1,1,-95.70641667,17.25388889
74551,2009,18/06/2009,Oaxaca,San Antonino el Alto,Bosque,Inicial,No,1,Si,Comunal,2149,60,Ladera,Noreste,BPQ,VSn,4,1,1,1,1,-97.03947189,16.80722222
73342,2009,22/07/2009,Oaxaca,San Pedro y San Pablo Ayutla,Bosque,Inicial,No,1,Si,Propiedad Particular,1900,40,Lomerio,Noroeste,BQP,VSn,4,1,1,1,1,-96.185583,17.04719411
75714,2009,16/06/2009,Oaxaca,Santa Cruz Zenzontepec,Bosque,Inicial,No,1,Si,Comunal,1251,40,Ladera,Noreste,BQP,VSn,4,1,1,1,1,-97.42305489,16.54861078
77149,2009,22/05/2009,Oaxaca,Villa de Tututepec de Melcho,Selva,Inicial,No,1,Si,Comunal,90,17,Lomerio,Noreste,SBC,VSaa,4,1,1,1,1,-97.67083267,16.105
74329,2009,16/06/2009,Oaxaca,Mesones Hidalgo,Bosque,Inicial,No,1,Si,Ejidal,608,50,Ladera,Oeste,BQ,VSA,4,1,1,1,1,-98.068416,16.88308267
73352,2009,07/05/2009,Oaxaca,San Juan Cotzocon,Bosque,Inicial,No,1,Si,Comunal,623,10,Planicie,Noroeste,BQP,VSA,4,1,1,1,1,-95.716666,17.02833267
75922,2009,27/05/2009,Oaxaca,San Carlos Yautepec,Bosque,Inicial,No,1,Si,Comunal,1648,60,Ladera,Norte,BQP,VSn,4,1,1,1,1,-96.16363889,16.45947222
67883,2009,03/08/2009,Oaxaca,San Jose Tenango,Bosque,Inicial,No,1,Si,Propiedad Particular,1278,70,Ladera,Noreste,BM,VSA,4,1,1,1,1,-96.75416667,18.15363889
70543,2009,04/05/2009,Oaxaca,Santiago Jocotepec,Selva,Inicial,No,1,Si,Comunal,208,90,Barranca,Sureste,SAP,VSh,1,1,0,0,0,-95.97236044,17.62686044
72675,2009,03/07/2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Bosque,Inicial,No,1,No,Propiedad Particular,2236,30,Ladera,Noreste,NA,VSna,4,1,1,1,1,-97.63527744,17.23219378
67313,2009,04/08/2009,Oaxaca,Santa Maria Chilchotla,Selva,Inicial,No,1,Si,Comunal,810,90,Ladera,Suroeste,SAP,VSA,1,1,0,0,0,-96.70333333,18.24244411
69153,2009,21/06/2009,Oaxaca,San Lucas Ojitlan,Selva,Inicial,No,1,Si,Ejidal,315,40,Ladera,Sur,SAP,VSA,4,1,1,1,1,-96.290833,17.91055556
74571,2009,27/05/2009,Oaxaca,San Pedro Quiatoni,Bosque,Inicial,No,1,Si,Comunal,1602,80,Ladera,Noroeste,BQ,VSA,4,1,1,1,1,-96.10338889,16.77313822
75522,2009,06/06/2009,Oaxaca,Santiago Ixtayutla,Bosque,Inicial,No,1,Si,Comunal,210,25,Barranca,Suroeste,BQ,VSA,4,1,1,1,1,-97.74888856,16.60361111
75907,2009,25/06/2009,Oaxaca,San Francisco Sola,Bosque,Inicial,No,1,Si,Comunal,1850,60,Barranca,Sureste,BQP,VSn,4,1,1,1,1,-96.86391667,16.485333
74938,2009,07/06/2009,Oaxaca,San Andres Cabecera Nueva,Bosque,Inicial,No,1,Si,Comunal,999,40,Ladera,Sureste,BP,VSA,4,1,1,1,1,-97.79138856,16.73999967
71607,2009,03/07/2009,Oaxaca,Tezoatlan de Segura y Luna,Bosque,Inicial,No,1,Si,Comunal,2100,50,Ladera,Oeste,BQP,VSaa,4,1,1,1,1,-97.86333333,17.46472222
72043,2009,26/06/2009,Oaxaca,Magdalena Yodocono de Porfir,Bosque,Inicial,No,1,Si,Comunal,3052,50,Ladera,Noreste,BQ,VSA,4,1,1,1,1,-97.443083,17.36222222
72461,2009,18/06/2009,Oaxaca,Heroica Ciudad de Tlaxiaco,Bosque,Inicial,No,1,Si,Comunal,2061,40,Ladera,Sureste,BQP,VSA,4,1,1,1,1,-97.72777711,17.28030489
75932,2009,19/05/2009,Oaxaca,Magdalena Tequisistlan,Bosque,Inicial,No,1,Si,Comunal,808,60,Ladera,Sureste,BQ,VSA,4,1,1,1,1,-95.69666633,16.44024967
76240,2009,10/06/2009,Oaxaca,San Agustin Chayuco,Selva,Inicial,No,1,Si,Ejidal,270,15,Planicie,Zenital,SMS,VSn,4,1,1,1,1,-97.84777744,16.42583267
76440,2009,28/05/2009,Oaxaca,San Carlos Yautepec,Bosque,Inicial,No,1,Si,Comunal,1523,40,Ladera,Suroeste,BQP,VSn,4,1,1,1,1,-96.12249933,16.32249933
71828,2009,19/06/2009,Oaxaca,Santa Maria Nduayaco,Bosque,Inicial,No,1,Si,Comunal,2327,20,Bajo,Zenital,BP,VSA,4,1,1,1,1,-97.53552744,17.41025
74953,2009,19/06/2009,Oaxaca,Santa Maria Lachixío,Bosque,Inicial,No,1,Si,Comunal,2503,70,Ladera,Sur,BPQ,VSn,4,1,1,1,1,-97.08944411,16.71861044
76425,2009,24/06/2009,Oaxaca,San Vicente Coatlan,Bosque,Inicial,No,1,Si,Comunal,1497,30,Lomerio,Sureste,BQ,VSn,3,1,0,1,1,-96.82222156,16.34861078
76591,2009,30/05/2009,Oaxaca,Santa Maria Quiegolani,Bosque,Inicial,No,1,Si,Comunal,1605,70,Barranca,Noreste,BQP,VSn,3,1,0,1,1,-96.03113822,16.27355489
73784,2009,08/03/2009,Oaxaca,San Juan Guichicovi,Selva,Inicial,No,1,Si,Ejidal,209,50,Lomerio,Suroeste,SAP,VSaa,4,1,1,1,1,-95.06530556,16.90888889
74152,2009,21/07/2009,Oaxaca,San Pablo Cuatro Venados,Bosque,Inaccesible (social),No,0,No,Comunal,0,0,No aplica,No aplica,NA,VSna,1,1,0,0,0,-96.98944411,16.895833
77268,2009,03/07/2009,Oaxaca,San Agustin Loxicha,Bosque,Inicial,No,1,Si,Comunal,1109,78,Barranca,Sureste,BM,VSA,4,1,1,1,1,-96.647833,16.02672156
73967,2009,06/08/2009,Oaxaca,San Juan del Rio,Bosque,Inicial,No,1,Si,Comunal,1359,70,Ladera,Sureste,BQ,VSA,4,1,1,1,1,-96.14441633,16.91027778
69148,2009,27/04/2009,Oaxaca,San Felipe Usila,Selva,Inicial,No,1,Si,Comunal,498,30,Ladera,Noreste,SAP,VSA,4,1,1,1,1,-96.52669378,17.919166
73764,2009,21/07/2009,Oaxaca,Santa Maria Tepantlali,Bosque,Inicial,No,1,Si,Comunal,1545,40,Lomerio,Oeste,BQ,VSn,4,1,1,1,1,-96.00191667,16.94966633
75195,2009,10/03/2009,Oaxaca,Ciudad Ixtepec,Selva,Inicial,Si,1,Si,Propiedad Particular,83,0,Planicie,Zenital,SBC,VSaa,4,1,1,1,1,-95.12777711,16.595833
76935,2009,20/06/2009,Oaxaca,Santiago Jamiltepec,Selva,Inicial,No,1,Si,Propiedad Particular,163,35,Ladera,Noreste,SMS,VSA,4,1,1,1,1,-97.85444444,16.20055556
72695,2009,16/07/2009,Oaxaca,San Agustin Etla,Bosque,Inicial,No,1,Si,Comunal,2282,30,Lomerio,Suroeste,BQP,VSn,4,1,1,1,1,-96.69977744,17.20211111
71848,2009,18/07/2009,Oaxaca,Santa Ana Yareni,Selva,Inicial,No,1,Si,Comunal,1732,70,Ladera,Este,SBC,VSaa,4,1,1,1,1,-96.59527744,17.379166
72685,2009,17/06/2009,Oaxaca,Santa Ines de Zaragoza,Selva,Inicial,Si,1,Si,Comunal,1750,50,Ladera,Sureste,SBC,VSaa,4,1,1,1,1,-97.16583333,17.21777711
73524,2009,10/06/2009,Oaxaca,San Pablo Tijaltepec,Bosque,Inicial,No,1,Si,Comunal,2115,40,Barranca,Sureste,BQ,VSA,4,1,1,1,1,-97.50094444,17.04766633
73559,2009,05/05/2009,Oaxaca,San Pedro Ocotepec,Bosque,Inicial,No,1,Si,Comunal,703,10,Planicie,Noreste,BPQ,VSA,4,1,1,1,1,-95.8595,16.98916633
69143,2009,07/09/2009,Oaxaca,San Francisco Chapulapa,Bosque,Inicial,No,1,Si,Comunal,1699,60,Ladera,Sureste,BM,VSh,4,1,1,1,1,-96.7595,17.92813822
69163,2009,06/09/2009,Oaxaca,Loma Bonita,Selva,Inicial,Si,1,Si,Propiedad Particular,72,0,Planicie,Zenital,SMQ,VSh,4,1,1,1,1,-95.81888822,17.89166633
73982,2009,17/03/2009,Oaxaca,Santiago Lachiguiri,Bosque,Inicial,No,1,Si,Comunal,366,50,Ladera,Sureste,BM,VSA,4,1,1,1,1,-95.44194411,16.88080489
72965,2009,15/02/2009,Oaxaca,Santa Maria Chimalapa,Selva,Inicial,No,1,Si,Ejidal,1143,40,Lomerio,Norte,SAP,VSA,4,1,1,1,1,-94.02505489,17.03777744
69607,2009,13/07/2009,Oaxaca,San Juan Bautista Cuicatlan,Selva,Inicial,No,1,Si,Ejidal,1070,80,Ladera,Sureste,SBC,VSaa,3,1,1,0,1,-97.04916633,17.84694411
76290,2009,05/06/2009,Oaxaca,Santo Domingo Tehuantepec,Bosque,Inicial,No,1,Si,Ejidal,693,50,Ladera,Oeste,BP,VSA,4,1,1,1,1,-95.51394444,16.34197189
73534,2009,23/07/2009,Oaxaca,Santa Maria Peñoles,Bosque,Inicial,No,1,Si,Comunal,1999,50,Lomerio,Sureste,BP,VSaa,4,1,1,1,1,-97.03138822,17.03277711
72915,2009,17/07/2009,Oaxaca,Villa Diaz Ordaz,Bosque,Inicial,No,1,Si,Comunal,3051,50,Lomerio,Norte,BA,VSn,4,1,1,1,1,-96.36944378,17.14497189
75567,2009,28/05/2009,Oaxaca,Magdalena Tequisistlan,Bosque,Inicial,No,1,Si,Comunal,1295,90,Ladera,Noreste,BPQ,VSn,1,1,0,0,0,-95.64586078,16.52827711
69133,2009,16/07/2009,Oaxaca,Tepelmeme Villa de Morelos,Bosque,Inicial,No,1,Si,Comunal,2415,15,Meseta,Zenital,BQ,VSaa,4,1,1,1,1,-97.23472189,17.943333
73377,2009,28/03/2009,Oaxaca,Santa Maria Chimalapa,Selva,Inicial,No,1,Si,Comunal,640,50,Ladera,Suroeste,SAP,VSA,4,1,1,1,1,-94.54511078,16.97411044
74364,2009,26/06/2009,Oaxaca,Santiago Matatlan,Bosque,Inicial,No,1,Si,Comunal,2091,40,Lomerio,Noreste,BQ,VSn,4,1,1,1,1,-96.429166,16.83083267
67878,2009,05/08/2009,Oaxaca,Santa Maria Teopoxco,Bosque,Inicial,No,1,Si,Comunal,2019,85,Barranca,Noreste,BM,VSaa,4,1,1,1,1,-96.99052744,18.16163889
72501,2009,30/04/2009,Oaxaca,Santiago Zacatepec,Bosque,Inicial,No,1,Si,Comunal,1009,40,Ladera,Sur,BM,VSn,4,1,1,1,1,-95.84944411,17.21444444
68403,2009,26/04/2009,Oaxaca,San Felipe Jalapa de Diaz,Selva,Inicial,No,1,Si,Propiedad Particular,552,40,Ladera,Sureste,SAP,VSaa,4,1,1,1,1,-96.56861044,18.05636111
75175,2009,23/05/2009,Oaxaca,San Carlos Yautepec,Selva,Inicial,No,1,Si,Comunal,781,40,Lomerio,Zenital,SBC,VSA,4,1,1,1,1,-96.0625,16.636083
75150,2009,27/06/2009,Oaxaca,Santiago Textitlan,Bosque,Inicial,No,1,Si,Comunal,2252,20,Ladera,Noreste,BQP,VSA,4,1,1,1,1,-97.23138822,16.67808267
75719,2009,17/07/2009,Oaxaca,San Lorenzo Texmelucan,Bosque,Inicial,No,1,No,Comunal,1305,0,Planicie,Zenital,NA,VSna,4,1,1,1,1,-97.18944411,16.54136078
75887,2009,08/06/2009,Oaxaca,Santiago Ixtayutla,Bosque,Inicial,No,1,Si,Ejidal,615,70,Ladera,Sureste,BQ,VSA,4,1,1,1,1,-97.798333,16.51472222
75912,2009,27/07/2009,Oaxaca,Coatecas Altas,Bosque,Inicial,Si,1,Si,Comunal,1888,40,Ladera,Noreste,BQ,VSA,4,1,1,1,1,-96.63055489,16.47694378
69853,2009,20/06/2009,Oaxaca,San Juan Bautista Valle Naci,Selva,Inicial,No,1,Si,Ejidal,329,70,Ladera,Norte,SAP,VSA,4,1,1,1,1,-96.24916633,17.77297156
74536,2009,06/06/2009,Oaxaca,San Andres Cabecera Nueva,Bosque,Inicial,No,1,Si,Comunal,680,33,Barranca,Oeste,BQ,VSA,4,1,1,1,1,-97.74194411,16.82888822
72895,2009,16/06/2009,Oaxaca,Magdalena Jaltepec,Bosque,Inicial,No,1,Si,Comunal,2192,30,Ladera,Oeste,BQ,VSA,4,1,1,1,1,-97.30805556,17.17719378
77056,2009,22/05/2009,Oaxaca,Santa Catarina Juquila,Bosque,Inicial,No,1,Si,Ejidal,856,30,Lomerio,Noreste,BM,VSA,4,1,1,1,1,-97.29669411,16.13888856
74187,2009,02/04/2009,Oaxaca,Guevea de Humboldt,Bosque,Inicial,No,1,Si,Comunal,1100,60,Ladera,Noreste,BM,VSn,4,1,1,1,1,-95.35052778,16.83169378
74749,2009,29/06/2009,Oaxaca,Villa Sola de Vega,Bosque,Inicial,No,1,Si,Comunal,2384,90,Barranca,Sureste,BQP,VSn,3,1,1,0,1,-97.181416,16.76663889
77164,2009,18/06/2009,Oaxaca,San Jeronimo Coatlan,Bosque,Inicial,No,1,Si,Comunal,1040,40,Ladera,Noreste,BPQ,VSA,3,1,0,1,1,-96.97163822,16.08349967
77346,2009,17/07/2009,Oaxaca,Villa de Tututepec de Melcho,Selva,Inicial,No,1,Si,Propiedad Particular,410,20,Ladera,Sureste,SMS,VSA,4,1,1,1,1,-97.25469444,16.00222222
74374,2009,25/05/2009,Oaxaca,San Pedro Quiatoni,Bosque,Inicial,No,1,Si,Comunal,1129,80,Ladera,Suroeste,BQ,VSn,4,1,1,1,1,-95.96111111,16.8125
73099,2009,18/06/2009,Oaxaca,Santa Cruz Nundaco,Bosque,Inicial,No,1,Si,Comunal,2804,50,Ladera,Suroeste,BP,VSn,4,1,1,1,1,-97.686333,17.14211078
77511,2009,06/07/2009,Oaxaca,Pluma Hidalgo,Selva,Inicial,No,1,Si,Ejidal,375,10,Bajo,Zenital,SMQ,VSA,4,1,1,1,1,-96.374166,15.88111044
75562,2009,01/06/2009,Oaxaca,San Juan Lajarcia,Bosque,Inicial,No,1,Si,Comunal,1192,50,Ladera,Sureste,BQ,VSA,4,1,1,1,1,-95.87944378,16.538333
75377,2009,25/05/2009,Oaxaca,Magdalena Tequisistlan,Bosque,Inicial,No,1,Si,Comunal,2130,70,Barranca,Noroeste,BQP,VSA,2,1,0,0,1,-95.739333,16.57405489
77179,2009,07/07/2009,Oaxaca,Santiago Xanica,Bosque,Inicial,No,1,Si,Comunal,1887,70,Ladera,Noroeste,BM,VSA,4,1,1,1,1,-96.273666,16.05780556
