"","Conglomerado","Anio","Fecha_cgl","Estado","Municipio","Formato","Tipo_cgl_estandar","Monitoreo","Muestreado","Cubierta_Vegetal","Tenencia","Altitud","Pendiete_promedio","Fisiografia","Exposicion","Veg_prim_levantada","Veg_sec_levanatda","Sitios_x_cgl","Sitio_1","Sitio_2","Sitio_3","Sitio_4","X","Y"
"11",64714,2010,"11/10/2010","Veracruz de Ignacio de la Llave","Zongolica","Bosque","Inicial","No",1,"Si","Propiedad Particular","1546","35","Ladera","Norte","BQ","VSA",4,"1","1","1","1","-97.01974933","18.66083333"
"12",64170,2010,"10/09/2010","Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","Inicial","No",1,"Si","Comunal","1425","40","Lomerio","Norte","BQ","VSA",4,"1","1","1","1","-97.20638889","18.75722222"
"13",64982,2010,"11/09/2010","Veracruz de Ignacio de la Llave","Xoxocotla","Bosque","Inicial","No",1,"Si","Ejidal","2306","40","Ladera","Noroeste","BQ","VSn",4,"1","1","1","1","-97.16361111","18.61999933"
"14",65271,2010,"20/09/2010","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","320","40","Ladera","Suroeste","SAP","VSA",4,"1","1","1","1","-96.833333","18.56386111"
"15",64987,2010,"12/10/2010","Veracruz de Ignacio de la Llave","Zongolica","Bosque","Inicial","No",1,"Si","Ejidal","1693","60","Ladera","Suroeste","BM","VSn",4,"1","1","1","1","-96.92638822","18.61211111"
"16",65266,2010,"26/09/2010","Veracruz de Ignacio de la Llave","Astacinga","Bosque","Inicial","No",1,"Si","Propiedad Particular","1836","65","Ladera","Sureste","BP","VSA",3,"1","1","0","1","-97.07027711","18.57158267"
"17",64719,2010,"19/09/2010","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","670","45","Ladera","Noroeste","SAP","VSaa",3,"1","0","1","1","-96.78249933","18.65252778"
"18",64447,2010,"22/09/2010","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","1140","70","Ladera","Noreste","SAP","VSA",2,"1","1","0","0","-96.87555489","18.70108333"
"19",64176,2011,"19/05/2011","Veracruz de Ignacio de la Llave","Zongolica","Selva","Inicial","No",1,"Si","Comunal","1293","50","Ladera","Este","SAP","VSA",4,"1","1","1","1","-96.92138822","18.74805522"
"20",64171,2011,"21/05/2011","Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","Inicial","No",1,"Si","Propiedad Particular","2359","40","Lomerio","Este","BQP","VSA",4,"1","1","1","1","-97.15888889","18.75583333"
"21",64443,2011,"20/05/2011","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Comunal","1903","90","Ladera","Noreste","BQ","VSA",4,"1","1","1","1","-97.06555556","18.7075"
"22",65845,2011,"23/03/2011","Veracruz de Ignacio de la Llave","Tehuipango","Bosque","Inicial","No",1,"Si","Propiedad Particular","2498","20","Ladera","Noreste","BP","VSA",4,"1","1","1","1","-97.073666","18.48136044"
"23",64710,2011,"22/05/2011","Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","Inicial","No",1,"Si","Propiedad Particular","2808","80","Ladera","Norte","BP","VSA",4,"1","1","1","1","-97.20944444","18.66694378"
"24",64720,2011,"15/03/2011","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","282","20","Ladera","Noroeste","SAP","VSA",4,"1","1","1","1","-96.735083","18.65136111"
"25",64448,2011,"14/03/2011","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","967","20","Ladera","Noreste","SAP","VSA",4,"1","1","1","1","-96.82813822","18.69944411"
"26",64716,2012,"06/03/2012","Veracruz de Ignacio de la Llave","Zongolica","Selva","Inicial","No",1,"Si","Ejidal","1013","15","Lomerio","Sureste","SAP","VSA",4,"1","1","1","1","-96.92472156","18.65780556"
"27",64172,2012,"08/03/2012","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Ejidal","2900","60","Ladera","Sur","BPQ","VSna",4,"1","1","1","1","-97.11141667","18.75413889"
"28",64989,2012,"08/03/2012","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Propiedad Particular","675","40","Ladera","Sureste","SAP","VSaa",4,"1","1","1","1","-96.831666","18.60916667"
"29",64444,2012,"07/03/2012","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Ejidal","1245","50","Ladera","Suroeste","BM","VSA",4,"1","1","1","1","-97.01808267","18.70586111"
"30",65273,2012,"07/03/2012","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","308","30","Ladera","Este","SAP","VSaa",4,"1","1","1","1","-96.738333","18.56055556"
"31",63647,2012,"18/02/2012","Veracruz de Ignacio de la Llave","Maltrata","Bosque","Inicial","Si",1,"Si","Propiedad Particular","2494","12","Lomerio","Sur","BP","VSaa",4,"1","1","1","1","-97.29805522","18.85083333"
"32",64177,2012,"10/03/2012","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","700","30","Ladera","Oeste","SAP","VSaa",4,"1","1","1","1","-96.87394378","18.74624967"
"33",64439,2012,"16/02/2012","Veracruz de Ignacio de la Llave","Acultzingo","Bosque","Inicial","No",1,"Si","Propiedad Particular","1981","58","Ladera","Este","BQ","VSA",4,"1","1","1","1","-97.25416667","18.71361111"
"34",64984,2012,"05/03/2012","Veracruz de Ignacio de la Llave","Texhuacan","Bosque","Inicial","No",1,"Si","Ejidal","2215","10","Terraza","Oeste","BQP","VSA",4,"1","1","1","1","-97.06861044","18.617416"
"35",65268,2012,"10/02/2012","Veracruz de Ignacio de la Llave","Mixtla de Altamirano","Bosque","Inicial","No",1,"Si","Ejidal","2175","70","Ladera","Sur","BM","VSaa",4,"1","1","1","1","-96.97558267","18.56863822"
"36",64717,2013,"27/04/2013","Veracruz de Ignacio de la Llave","Zongolica","Selva","Inicial","No",1,"Si","Propiedad Particular","992","45","Lomerio","Suroeste","SAP","VSA",4,"1","1","1","1","-96.87719378","18.65583333"
"37",64990,2013,"01/05/2013","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","1150","30","Bajo","Sur","SAP","VSA",4,"1","1","1","1","-96.78411078","18.6075"
"38",63909,2013,"03/06/2013","Veracruz de Ignacio de la Llave","Camerino Z. Mendoza","Bosque","Inicial","No",1,"Si","Comunal","1968","45","Ladera","Oeste","BQP","VSA",4,"1","1","1","1","-97.15722222","18.80108333"
"39",64712,2013,"26/04/2013","Veracruz de Ignacio de la Llave","Atlahuilco","Bosque","Inicial","No",1,"Si","Propiedad Particular","2272","55","Ladera","Norte","BQP","VSna",4,"1","1","1","1","-97.11444444","18.66386111"
"40",65560,2013,"19/05/2013","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","172","30","Ladera","Noreste","SAP","VSaa",4,"1","1","1","1","-96.83499967","18.51861044"
"41",64985,2013,"28/05/2013","Veracruz de Ignacio de la Llave","Texhuacan","Bosque","Inicial","No",1,"Si","Comunal","1582","38","Ladera","Oeste","BQP","VSA",4,"1","1","1","1","-97.021416","18.61555556"
"42",64440,2013,"30/05/2013","Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","Inicial","No",1,"Si","Comunal","2607","28","Lomerio","Este","BPQ","VSna",4,"1","1","1","1","-97.20772222","18.71230556"
"43",64173,2013,"25/05/2013","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Comunal","1998","60","Lomerio","Este","BPQ","VSaa",4,"1","1","1","1","-97.06383333","18.75277778"
"44",63907,2014,"25/09/2014","Veracruz de Ignacio de la Llave","Maltrata","Bosque","Inicial","No",1,"Si","Comunal","1697","54","Ladera","Noroeste","BQP","VSA",4,"1","1","1","1","-97.25247222","18.80483333"
"45",64442,2014,"24/09/2014","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Comunal","2369","48","Bajo","Noreste","BPQ","VSA",4,"1","1","1","1","-97.11330556","18.70986111"
"46",63906,2014,"26/09/2014","Veracruz de Ignacio de la Llave","Maltrata","Bosque","Inicial","No",1,"Si","Comunal","1984","64","Ladera","Sur","BQ","VSA",4,"1","1","1","1","-97.29997189","18.80622222"
