"","Conglomerado","cgl_sit_arb","Anio","Estado","Municipio","Formato","Cve_veg_SV","Tipo_veg_SV","Veg_prim_levantada","Veg_sec_levantada","Sitio","Registro","Arbol","NumeroTallos","FormaFuste","TipoTocon","Familia_APG","NombreCientifico_APG","Condicion","NomComun","X","Y","Altitud","Vigor","VigEtapa","DiametroCopa","PosicionCopa","porc_CopaViva","ExposicionLuz","DensidadCopa","TransparenciaCopa","MuerteRegresiva","DiametroBasal","Azimut","distancia","Edad","GrosorCorteza","Long10Anillos","NumAnillos25","Troza1","Troza2","Troza3","Troza4","Troza5","Troza6","Troza7","Troza8","AlturaFusteLimpio","AlturaComercial","Forma_Biologica_1","Danio1","Severidad1","Danio2","Severidad2","Altura_total","Diametro_normal","Area_basal","Area_copa"
"11",64990,"64990_1_9",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",1,9,8,"NULL","Arbol recto con dos o mas fustes","NULL","Sapindaceae","Thouinidium decandrum","Vivo","Chaparro","-96.7841107777778","18.6075",1150,"NULL","NULL","6.8","Codominante","20","El arbol recibe la luz completa en la punta o solo en un cuarto","95","05","00","NULL","200","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.6","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",14.8,18,"0.02544696","36.316896"
"12",64990,"64990_2_10",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,10,10,"NULL","Arbol recto con un fuste","NULL","Sapindaceae","Thouinidium decandrum","Vivo","Chaparro","-96.7841385555556","18.6079444444444",1150,"NULL","NULL","3.1","Suprimido","40","El arbol recibe la luz completa en la punta o solo en un cuarto","45","55","00","NULL","30","4.6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.4","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",7.9,18,"0.02544696","7.547694"
"13",64990,"64990_2_13",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,13,12,"NULL","Arbol curvo con un fuste","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7841385555556","18.6079444444444",1150,"NULL","NULL","4.8","Suprimido","40","Arboles que no reciben luz porque se encuentran sombreados por otros arboles  parras  trepadoras u otra vegetacion  arboles que no tienen copa por definicion ","95","05","00","NULL","352","1.6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.4","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",6.9,7.5,"0.0045364702861496","18.095616"
"14",64990,"64990_2_20",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,20,19,"NULL","Arbol recto con un fuste","NULL","Sapindaceae","Thouinidium decandrum","Vivo","Chaparro","-96.7841385555556","18.6079444444444",1150,"NULL","NULL","4.9","Codominante","10","El arbol recibe la luz completa en la punta o solo en un cuarto","75","25","00","NULL","212","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.9","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",13.8,25.7,"0.0522793625080628","18.857454"
"15",64990,"64990_2_3",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,3,3,"NULL","Arbol recto con un fuste","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7841385555556","18.6079444444444",1150,"NULL","NULL","3.2","Codominante","10","El arbol recibe la luz completa en la punta o solo en un cuarto","75","25","00","NULL","346","16.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8.1","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",13.3,24,"0.04523904","8.042496"
"16",64990,"64990_2_4",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,4,4,"NULL","Arbol recto con un fuste","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7841385555556","18.6079444444444",1150,"NULL","NULL","5.1","Codominante","10","El arbol recibe la luz completa en la punta o solo en un cuarto","35","75","00","NULL","5","15.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9.8","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",14.8,24,"0.04523904","20.428254"
"17",64990,"64990_3_36",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",3,36,28,"NULL","Arbol inclinado con un fuste","NULL","Sapindaceae","Thouinidium decandrum","Vivo","Chaparro","-96.7840274444444","18.60725",1150,"NULL","NULL","2.6","Suprimido","20","Arboles que no reciben luz porque se encuentran sombreados por otros arboles  parras  trepadoras u otra vegetacion  arboles que no tienen copa por definicion ","95","05","00","NULL","144","18.4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.6","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",5.8,9.6,"0.00738982830938187","5.309304"
"18",65273,"65273_1_15",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",1,15,15,"NULL","Arbol recto con un fuste","NULL","Boraginaceae","Cordia alliodora","Vivo","Suchucuahua","-96.738333","18.5605555555556",308,"NULL","NULL","5.1","Codominante","35","El arbol recibe luz completa en la punta y cuatro cuartos","45","55","00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8.8","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",15.3,19.3,"0.0295593132375275","20.428254"
"19",65273,"65273_1_23",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",1,23,23,"NULL","Arbol recto con un fuste","NULL","Boraginaceae","Cordia alliodora","Vivo","Suchicuahua","-96.738333","18.5605555555556",308,"NULL","NULL","5.7","Codominante","50","El arbol recibe luz completa en la punta y cuatro cuartos","75","20","00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.3","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",16.2,17.1,"0.0229658824246536","25.517646"
"20",64718,"64718_1_12",2009,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",1,12,12,"NULL","NULL","NULL","Meliaceae","Cedrela odorata","Vivo","Cedro","-96.8297215555556","18.6541666666667",1220,"Bueno","Arbol joven","5.6","NULL","NULL","NULL","NULL","NULL","NULL","36.5","68","5.3","0","19","NULL","NULL","Troza con diametro menor a 30 cm y mayor a 10 cm","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.6","NULL","Arbol","NULL","NULL","NULL","NULL",8.6,29.1,"0.0665084591437088","24.630144"
"21",64718,"64718_3_5",2009,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",3,5,5,"NULL","NULL","NULL","Malvaceae","Heliocarpus appendiculatus","Vivo","Jonote","-96.8294715555556","18.6539166666667",1220,"Bueno","Arbol maduro","5.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.5","NULL","Arbol","NULL","NULL","NULL","NULL",8.3,22.6,"0.0401150917542206","21.237216"
"22",64446,"64446_2_7",2009,"Veracruz de Ignacio de la Llave","Zongolica","Selva","TA","AGRICULTURA DE TEMPORAL","SAP","VSA",2,7,7,"NULL","NULL","NULL","Fabaceae","Inga vera","Vivo","Jinicuil","-96.9230271111111","18.7030833333333",643,"Bueno","Arbol joven","4.6","NULL","NULL","NULL","NULL","NULL","NULL","11.1","187","15.1","0","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.5","NULL","Arbol","NULL","NULL","NULL","NULL",9.1,9.3,"0.00693979383674012","16.619064"
"23",64447,"64447_2_33",2010,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSaa/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,33,33,"NULL","NULL","NULL","Fabaceae","Inga vera","Vivo","Aguatope","-96.8754993333333","18.7014444444444",1140,"Bueno","Arbol joven","6.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10.4","NULL","Arbol","NULL","NULL","NULL","NULL",14.8,20.5,"0.033006435","30.190776"
"24",64987,"64987_4_74",2010,"Veracruz de Ignacio de la Llave","Zongolica","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSn",4,74,74,"NULL","NULL","NULL","NULL","ZZ_Desconocido","Muerto en pie","NULL","-96.9263882222222","18.6121111111111",1693,"Sin vigor","Sin vigor-etapa","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL",5.3,17.2,"0.0232352756612915","0"
"25",65271,"65271_2_18",2010,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,18,18,"NULL","NULL","NULL","Fabaceae","Senna multijuga","Vivo","Guaje","-96.8332771111111","18.5642222222222",320,"Bueno","Arbol joven","4.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.6","NULL","Arbol","NULL","NULL","NULL","NULL",11.6,14.1,"0.0156145382448898","18.857454"
"26",65271,"65271_3_1",2010,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",3,1,1,"NULL","NULL","NULL","Fabaceae","Senna multijuga","Vivo","Guaje","-96.8331104444444","18.5636388888889",320,"Bueno","Arbol muy joven","3.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.9","NULL","Arbol","NULL","NULL","NULL","NULL",7.8,9.5,"0.007088235","11.945934"
"27",64177,"64177_3_23",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",3,23,23,"NULL","Arbol recto con un fuste","NULL","Lauraceae","Licaria capitata","Vivo","Aguacatillo","-96.8736937777778","18.7459996666667",700,"NULL","NULL","3.1","Codominante","50","El arbol recibe luz completa en la punta y tres cuartos","45","65","00","16.4","170","4.4","0","12","NULL","NULL","Troza con diametro menor a 30 cm y mayor a 10 cm","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",7.4,15.3,"0.0186265454772125","7.547694"
"28",64177,"64177_4_25",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",4,25,25,"NULL","Arbol recto con un fuste","NULL","Malvaceae","Heliocarpus appendiculatus","Vivo","Jonote rojo","-96.8741937777778","18.7460552222222",700,"NULL","NULL","2.8","Codominante","45","El arbol recibe la luz completa en la punta y en un cuarto (o dos cuartos sin la punta)","55","55","00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.5","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",7.5,8.1,"0.00528102935432282","6.157536"
"29",64170,"64170_3_27",2010,"Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","VSaa/BQ","BOSQUE DE ENCINO","BQ","VSA",3,27,27,"NULL","NULL","NULL","Fagaceae","Quercus magnoliifolia","Vivo","Encino amarillo","-97.2060555555556","18.757",1425,"Bueno","Arbol joven","3","NULL","NULL","NULL","NULL","NULL","NULL","17.5","140","5.4","0","13","NULL","NULL","Troza con diametro menor a 30 cm y mayor a 10 cm","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.9","3.4","Arbol","NULL","NULL","NULL","NULL",11.8,14.8,"0.0172034020434174","7.0686"
"30",64170,"64170_3_6",2010,"Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","VSaa/BQ","BOSQUE DE ENCINO","BQ","VSA",3,6,6,"NULL","NULL","NULL","Fagaceae","Quercus magnoliifolia","Vivo","Encino amarillo","-97.2060555555556","18.757",1425,"Bueno","Arbol joven","2.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.5","3.8","Arbol","NULL","NULL","NULL","NULL",10.1,18.3,"0.0265905012974487","6.157536"
"31",64990,"64990_4_11",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",4,11,8,"NULL","Arbol recto con dos o mas fustes","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7844163333333","18.60725",1150,"NULL","NULL","3.2","Codominante","20","El arbol recibe la luz completa en la punta o solo en un cuarto","95","05","00","NULL","245","7.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.9","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",12.3,11.1,"0.00967691406512605","8.042496"
"32",64990,"64990_4_2",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",4,2,2,"NULL","Arbol recto con un fuste","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7844163333333","18.60725",1150,"NULL","NULL","4.3","Codominante","20","El arbol recibe la luz completa en la punta o solo en un cuarto","95","50","00","NULL","30","18.3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.3","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",10.5,23.1,"0.0419097307841812","14.522046"
"33",64991,"64991_2_18",2009,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,18,18,"NULL","NULL","NULL","Rubiaceae","Alibertia edulis","Vivo","Canilla de venado","-96.7366663333333","18.6061388888889",548,"Bueno","Arbol joven","3.1","NULL","NULL","NULL","NULL","NULL","NULL","10.5","166","13.5","0","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.7","NULL","Arbol","NULL","NULL","NULL","NULL",7.5,8.8,"0.00622115286670076","7.547694"
"34",64177,"64177_2_10",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",2,10,10,"NULL","Arbol recto con un fuste","NULL","Urticaceae","Cecropia obtusifolia","Vivo","Guarumbo","-96.873916","18.746583",700,"NULL","NULL","5.5","Codominante","40","El arbol recibe luz completa en la punta y dos cuartos (o tres cuartos sin la punta)","45","65","00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7.2","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",13.1,25.6,"0.0514719759339844","23.75835"
"35",65560,"65560_3_2",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","TA","AGRICULTURA DE TEMPORAL","SAP","VSaa",3,2,2,"NULL","Arbol recto con un fuste","NULL","Boraginaceae","Cordia alliodora","Vivo","Suchicuahua","-96.8347496666667","18.5183882222222",172,"NULL","NULL","5.4","Codominante","35","El arbol recibe la luz completa en la punta o solo en un cuarto","20","60","00","NULL","234","4.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6.8","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",13.1,10.6,"0.00899204427942124","22.902264"
"36",64448,"64448_1_6",2011,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSaa/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",1,6,6,"NULL","NULL","NULL","Fabaceae","Inga vera","Vivo","Vainillo","-96.8281382222222","18.6994441111111",967,"Bueno","Arbol maduro","8.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","Arbol","NULL","NULL","NULL","NULL",11.3,21.2,"0.0352990201406617","59.446926"
"37",64448,"64448_2_22",2011,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSaa/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",2,22,22,"NULL","NULL","NULL","Fabaceae","Inga vera","Vivo","Vainillo","-96.8281104444444","18.6997774444444",967,"Pobre","Arbol maduro","5.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6.3","NULL","Arbol","NULL","NULL","NULL","NULL",11.1,13.3,"0.0141026415970551","25.517646"
"38",64448,"64448_4_33",2011,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSaa/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",4,33,33,"NULL","NULL","NULL","Fabaceae","Inga vera","Vivo","Vainillo","-96.828416","18.6992496666667",967,"Bueno","Arbol joven","9.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","NULL","Arbol","NULL","NULL","NULL","NULL",9.1,12.5,"0.012271875","76.977054"
"39",64440,"64440_1_6",2013,"Veracruz de Ignacio de la Llave","Soledad Atzompa","Bosque","BPQ","BOSQUE DE PINO-ENCINO","BPQ","VSna",1,6,6,"NULL","NULL","Tocon madera seca (madera dura sin evidencias de descomposicion)","ZZ Familia Desconocida","ZZ_Desconocido","Tocon sin marca","NULL","-97.2077222222222","18.7123055555556",2607,"NULL","NULL","NULL","No aplica","-9999","No aplica","-9999","-9999","-9999","NULL","72","7.5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No aplica","-9999","NULL","NULL",0.3,10,"NULL","NULL"
"40",64989,"64989_3_12",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",3,12,12,"NULL","Arbol recto con un fuste","NULL","Malvaceae","Heliocarpus appendiculatus","Vivo","Jonote","-96.8314715555556","18.6088888888889",675,"NULL","NULL","5.8","Codominante","40","El arbol recibe luz completa en la punta y cuatro cuartos","35","60","00","28.9","184","5.4","0","16","NULL","NULL","Troza con diametro menor a 30 cm y mayor a 10 cm","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.6","NULL","Arbol","Ausencia de daño","n/a","NULL","NULL",10.3,24.7,"0.0483052386279053","26.420856"
"41",64982,"64982_1_10",2010,"Veracruz de Ignacio de la Llave","Xoxocotla","Bosque","BPQ","BOSQUE DE PINO-ENCINO","BQ","VSn",1,10,10,"NULL","NULL","NULL","Ericaceae","Arbutus xalapensis","Vivo","Madroño","-97.1636111111111","18.6199993333333",2306,"Bueno","Arbol joven","2.5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.3","3","Arbol","NULL","NULL","NULL","NULL",7,18.2,"0.0260155917811341","4.90875"
